gender,age_band,region,n_cell,cell_weight,category_id,category_name,incidence_rate,archetype,raw_multiplier,soft_multiplier,calibrated_probability,max_probability_flag
Female,18-24,Central,1829,0.009145,1,Fertility or IVF service,0.0956208426,female_skew,1.9799999999999998,1.8862915742519997,0.18279215869232462,0
Female,18-24,East,2130,0.01065,1,Fertility or IVF service,0.0956208426,female_skew,1.9799999999999998,1.8862915742519997,0.18279215869232462,0
Female,18-24,North,2756,0.01378,1,Fertility or IVF service,0.0956208426,female_skew,1.9799999999999998,1.8862915742519997,0.18279215869232462,0
Female,18-24,Rural/Other,1268,0.00634,1,Fertility or IVF service,0.0956208426,female_skew,1.8809999999999998,1.7967580376693997,0.1741158603667163,0
Female,18-24,South,2313,0.011565,1,Fertility or IVF service,0.0956208426,female_skew,1.9799999999999998,1.8862915742519997,0.18279215869232462,0
Female,18-24,West,2004,0.01002,1,Fertility or IVF service,0.0956208426,female_skew,1.9799999999999998,1.8862915742519997,0.18279215869232462,0
Female,25-34,Central,2851,0.014255,1,Fertility or IVF service,0.0956208426,female_skew,1.8974999999999997,1.8116802937664997,0.17556191008765104,0
Female,25-34,East,3240,0.0162,1,Fertility or IVF service,0.0956208426,female_skew,1.8974999999999997,1.8116802937664997,0.17556191008765104,0
Female,25-34,North,4121,0.020605,1,Fertility or IVF service,0.0956208426,female_skew,1.8974999999999997,1.8116802937664997,0.17556191008765104,0
Female,25-34,Rural/Other,1831,0.009155,1,Fertility or IVF service,0.0956208426,female_skew,1.8026249999999997,1.7258773212081748,0.16724712419227644,0
Female,25-34,South,3432,0.01716,1,Fertility or IVF service,0.0956208426,female_skew,1.8974999999999997,1.8116802937664997,0.17556191008765104,0
Female,25-34,West,3023,0.015115,1,Fertility or IVF service,0.0956208426,female_skew,1.8974999999999997,1.8116802937664997,0.17556191008765104,0
Female,35-44,Central,2664,0.01332,1,Fertility or IVF service,0.0956208426,female_skew,1.7325,1.6624577327955,0.1611014128783039,0
Female,35-44,East,3093,0.015465,1,Fertility or IVF service,0.0956208426,female_skew,1.7325,1.6624577327955,0.1611014128783039,0
Female,35-44,North,3813,0.019065,1,Fertility or IVF service,0.0956208426,female_skew,1.7325,1.6624577327955,0.1611014128783039,0
Female,35-44,Rural/Other,1712,0.00856,1,Fertility or IVF service,0.0956208426,female_skew,1.6458749999999998,1.5841158882857247,0.15350965184339663,0
Female,35-44,South,3230,0.01615,1,Fertility or IVF service,0.0956208426,female_skew,1.7325,1.6624577327955,0.1611014128783039,0
Female,35-44,West,2743,0.013715,1,Fertility or IVF service,0.0956208426,female_skew,1.7325,1.6624577327955,0.1611014128783039,0
Female,45-54,Central,2627,0.013135,1,Fertility or IVF service,0.0956208426,female_skew,1.5675,1.5132351718244998,0.1466409156689567,0
Female,45-54,East,3135,0.015675,1,Fertility or IVF service,0.0956208426,female_skew,1.5675,1.5132351718244998,0.1466409156689567,0
Female,45-54,North,3824,0.01912,1,Fertility or IVF service,0.0956208426,female_skew,1.5675,1.5132351718244998,0.1466409156689567,0
Female,45-54,Rural/Other,1729,0.008645,1,Fertility or IVF service,0.0956208426,female_skew,1.4891249999999998,1.4423544553632748,0.1397721794945168,0
Female,45-54,South,3233,0.016165,1,Fertility or IVF service,0.0956208426,female_skew,1.5675,1.5132351718244998,0.1466409156689567,0
Female,45-54,West,2829,0.014145,1,Fertility or IVF service,0.0956208426,female_skew,1.5675,1.5132351718244998,0.1466409156689567,0
Female,55-64,Central,2438,0.01219,1,Fertility or IVF service,0.0956208426,female_skew,1.4024999999999999,1.3640126108534998,0.13218041845960954,0
Female,55-64,East,2947,0.014735,1,Fertility or IVF service,0.0956208426,female_skew,1.4024999999999999,1.3640126108534998,0.13218041845960954,0
Female,55-64,North,3458,0.01729,1,Fertility or IVF service,0.0956208426,female_skew,1.4024999999999999,1.3640126108534998,0.13218041845960954,0
Female,55-64,Rural/Other,1601,0.008005,1,Fertility or IVF service,0.0956208426,female_skew,1.3323749999999999,1.3005930224408249,0.126034707145637,0
Female,55-64,South,3089,0.015445,1,Fertility or IVF service,0.0956208426,female_skew,1.4024999999999999,1.3640126108534998,0.13218041845960954,0
Female,55-64,West,2589,0.012945,1,Fertility or IVF service,0.0956208426,female_skew,1.4024999999999999,1.3640126108534998,0.13218041845960954,0
Female,65+,Central,3070,0.01535,1,Fertility or IVF service,0.0956208426,female_skew,1.2374999999999998,1.2147900498824997,0.11771992125026236,0
Female,65+,East,3702,0.01851,1,Fertility or IVF service,0.0956208426,female_skew,1.2374999999999998,1.2147900498824997,0.11771992125026236,0
Female,65+,North,4479,0.022395,1,Fertility or IVF service,0.0956208426,female_skew,1.2374999999999998,1.2147900498824997,0.11771992125026236,0
Female,65+,Rural/Other,2066,0.01033,1,Fertility or IVF service,0.0956208426,female_skew,1.1756249999999997,1.1588315895183747,0.11229723479675718,0
Female,65+,South,3882,0.01941,1,Fertility or IVF service,0.0956208426,female_skew,1.2374999999999998,1.2147900498824997,0.11771992125026236,0
Female,65+,West,3298,0.01649,1,Fertility or IVF service,0.0956208426,female_skew,1.2374999999999998,1.2147900498824997,0.11771992125026236,0
Male,18-24,Central,1697,0.008485,1,Fertility or IVF service,0.0956208426,female_skew,0.42,0.47546008870799994,0.04607473053122415,0
Male,18-24,East,2058,0.01029,1,Fertility or IVF service,0.0956208426,female_skew,0.42,0.47546008870799994,0.04607473053122415,0
Male,18-24,North,2625,0.013125,1,Fertility or IVF service,0.0956208426,female_skew,0.42,0.47546008870799994,0.04607473053122415,0
