candidate_id,strategy,seed,bundle_size_target,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,total_respondents_used,all_categories_hit_target,min_completes,mean_interview_seconds,p95_interview_seconds,avg_surveys_per_respondent,share_2plus_surveys,share_3plus_surveys,max_exposure_deviation
0,random,1,25,4,19.25,28.875,7560,True,200,250.6140419525316,475.71932276396547,2.037037037037037,0.5373015873015873,0.4947089947089947,0.009604957983193278
0,random,2,25,4,19.25,28.875,8700,True,200,221.6616847311654,474.9501808898058,1.7701149425287357,0.46413793103448275,0.4304597701149425,0.007102084277299503
0,random,3,25,4,19.25,28.875,8053,True,200,237.26315126799193,475.54342766152695,1.9123308083943873,0.5060226002731901,0.46342977772258787,0.006842185686653773
1,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.60946747334674,1.729559748427673,0.4603548966756514,0.4190251572327044,0.010206462824461065
1,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.8458164971089,1.8294131622713234,0.4883582798764552,0.4465431218816821,0.007647020447906522
1,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,474.4425232282374,1.8370511749970178,0.49230585709173325,0.4486460694262197,0.006477126436781611
2,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.8950930580031,1.729559748427673,0.46192722371967654,0.4168912848158131,0.010206462824461065
2,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.1025777069153,1.8294131622713234,0.48764552150154433,0.4446424328819197,0.007647020447906522
2,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,475.3814785655122,1.8370511749970178,0.4902779434569963,0.44327806274603365,0.006477126436781611
3,random,1,25,4,19.25,28.875,8904,True,200,217.14012322115218,474.14157787919976,1.729559748427673,0.4583333333333333,0.4185759209344115,0.010206462824461065
3,random,2,25,4,19.25,28.875,8418,True,200,228.16300275138263,474.5817506778985,1.8294131622713234,0.48752672843905914,0.4420289855072464,0.007647020447906522
3,random,3,25,4,19.25,28.875,8383,True,200,229.09485353228425,474.57972073182464,1.8370511749970178,0.49087438864368366,0.44542526541810806,0.006477126436781611
4,random,1,25,4,19.25,28.875,9390,True,200,207.44932451130342,471.7189318081364,1.640042598509052,0.43940362087326945,0.4078807241746539,0.008934064703442556
