bundle_size,seed,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,total_respondents_used,all_categories_hit_target,min_completes,mean_interview_seconds,p95_interview_seconds,avg_surveys_per_respondent,share_2plus_surveys,share_3plus_surveys,max_exposure_deviation
15,1,6,12.833333333333334,19.25,12502,True,200,153.27088923061422,467.89709833979134,1.2318029115341544,0.3242681171012638,0.2885938249880019,0.012468512553292278
15,2,6,12.833333333333334,19.25,12187,True,200,156.7380944581225,467.0968094486743,1.263641585295807,0.33223927135472225,0.295314679576598,0.010143863080684597
15,3,6,12.833333333333334,19.25,12108,True,200,157.635501912879,468.4563753468683,1.2718863561281797,0.33382887347208456,0.2971589032044929,0.00883771573604061
15,4,6,12.833333333333334,19.25,12008,True,200,158.78161701874907,467.89951571216807,1.2824783477681545,0.33644237175216524,0.2975516322451699,0.009187122736418512
15,5,6,12.833333333333334,19.25,13819,True,200,140.50522159064613,466.59692485816777,1.114407699544106,0.29191692597148855,0.2586294232578334,0.008765838454784899
20,1,4,19.25,28.875,7560,True,200,250.5124546509443,474.715076004155,2.037037037037037,0.5337301587301587,0.48955026455026457,0.009604957983193278
20,2,4,19.25,28.875,8700,True,200,221.45616748978608,473.9608417740091,1.7701149425287357,0.4635632183908046,0.42091954022988504,0.007102084277299503
20,3,4,19.25,28.875,8053,True,200,236.94817548257035,474.6391738532111,1.9123308083943873,0.5003104433130511,0.45573078355892216,0.006842185686653773
20,4,4,19.25,28.875,8392,True,200,228.53761405637977,474.02212513424456,1.8350810295519542,0.47700190657769304,0.43744041944709244,0.007916443418013858
20,5,4,19.25,28.875,9547,True,200,204.3938574590069,473.8909376668744,1.613072169267833,0.4185608044411857,0.3826332879438567,0.006444506146672319
25,1,4,19.25,28.875,7560,True,200,250.5124546509443,474.715076004155,2.037037037037037,0.5337301587301587,0.48955026455026457,0.009604957983193278
25,2,4,19.25,28.875,8700,True,200,221.45616748978608,473.9608417740091,1.7701149425287357,0.4635632183908046,0.42091954022988504,0.007102084277299503
25,3,4,19.25,28.875,8053,True,200,236.94817548257035,474.6391738532111,1.9123308083943873,0.5003104433130511,0.45573078355892216,0.006842185686653773
25,4,4,19.25,28.875,8392,True,200,228.53761405637977,474.02212513424456,1.8350810295519542,0.47700190657769304,0.43744041944709244,0.007916443418013858
25,5,4,19.25,28.875,9547,True,200,204.3938574590069,473.8909376668744,1.613072169267833,0.4185608044411857,0.3826332879438567,0.006444506146672319
30,1,3,25.666666666666668,38.5,6471,True,200,297.4433869820953,475.9635259746574,2.379848555091949,0.6334415082676557,0.5904806057796322,0.008866999546073537
30,2,3,25.666666666666668,38.5,5923,True,200,321.4031161845583,476.20481097106824,2.6000337666722944,0.692723282120547,0.6495019415836569,0.006785926660059463
30,3,3,25.666666666666668,38.5,6151,True,200,310.897928330538,476.3440579965245,2.5036579417980818,0.66314420419444,0.626402211022598,0.007073961204696274
30,4,3,25.666666666666668,38.5,6381,True,200,301.1195983640713,476.01712554786354,2.413414825262498,0.6422190879172543,0.6038238520608055,0.007113979269941412
30,5,3,25.666666666666668,38.5,6689,True,200,288.99359503081763,475.5487653594464,2.302287337419644,0.6127971296157871,0.5773658244879654,0.006663392777530095
35,1,3,25.666666666666668,38.5,6471,True,200,297.4433869820953,475.9635259746574,2.379848555091949,0.6334415082676557,0.5904806057796322,0.008866999546073537
35,2,3,25.666666666666668,38.5,5923,True,200,321.4031161845583,476.20481097106824,2.6000337666722944,0.692723282120547,0.6495019415836569,0.006785926660059463
35,3,3,25.666666666666668,38.5,6151,True,200,310.897928330538,476.3440579965245,2.5036579417980818,0.66314420419444,0.626402211022598,0.007073961204696274
35,4,3,25.666666666666668,38.5,6381,True,200,301.1195983640713,476.01712554786354,2.413414825262498,0.6422190879172543,0.6038238520608055,0.007113979269941412
35,5,3,25.666666666666668,38.5,6689,True,200,288.99359503081763,475.5487653594464,2.302287337419644,0.6127971296157871,0.5773658244879654,0.006663392777530095
